airline,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Air India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,529.8,1,11900
SpiceJet,Delhi,Evening,one,Night,Mumbai,Economy,270.0,1,12123
SpiceJet,Delhi,Evening,one,Morning,Mumbai,Economy,915.0,1,12123
Air India,Delhi,Night,one,Morning,Mumbai,Economy,660.0,1,12150
Air India,Delhi,Afternoon,one,Morning,Mumbai,Economy,1144.8,1,12150
Air India,Delhi,Morning,one,Morning,Mumbai,Economy,1369.8,1,12150
Air India,Delhi,Early_Morning,one,Morning,Mumbai,Economy,1585.2,1,12150
Air India,Delhi,Night,one,Afternoon,Mumbai,Economy,1065.0,1,12215
SpiceJet,Delhi,Evening,one,Afternoon,Mumbai,Economy,1174.8,1,12230
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,139.8,1,12780
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,1600.2,1,12885
AirAsia,Delhi,Evening,one,Early_Morning,Mumbai,Economy,910.2,1,12539
Air India,Delhi,Evening,one,Afternoon,Mumbai,Economy,1249.8,1,12938
Air India,Delhi,Night,one,Morning,Mumbai,Economy,685.2,1,12990
Air India,Delhi,Morning,one,Morning,Mumbai,Economy,1335.0,1,12990
Air India,Delhi,Early_Morning,one,Morning,Mumbai,Economy,1560.0,1,12990
Air India,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,1305.0,1,13086
Indigo,Delhi,Afternoon,one,Evening,Mumbai,Economy,229.8,1,13279
Indigo,Delhi,Evening,one,Night,Mumbai,Economy,265.2,1,13279
Indigo,Delhi,Morning,one,Evening,Mumbai,Economy,460.2,1,13279
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,499.8,1,13279
Indigo,Delhi,Night,one,Morning,Mumbai,Economy,625.2,1,13279
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,1425.0,1,13673
Air India,Delhi,Evening,one,Afternoon,Mumbai,Economy,1170.0,1,13410
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,390.0,1,13935
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,745.2,1,14040
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,1264.8,1,14040
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,1600.2,1,14093
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,1690.2,1,14093
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,1695.0,1,14093
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,480.0,1,13767
GO FIRST,Delhi,Afternoon,one,Night,Mumbai,Economy,555.0,1,13932
Vistara,Delhi,Night,one,Afternoon,Mumbai,Economy,1075.2,1,14408
Vistara,Delhi,Night,one,Night,Mumbai,Economy,1585.2,1,14408
Air India,Delhi,Night,one,Afternoon,Mumbai,Economy,970.2,1,14250
GO FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,424.8,1,14539
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,829.8,1,14985
Air India,Delhi,Afternoon,one,Night,Mumbai,Economy,454.8,1,14670
Air India,Delhi,Evening,one,Morning,Mumbai,Economy,949.8,1,15195
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,135.0,1,15720
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,1465.2,1,15983
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,1560.0,1,15983
Indigo,Delhi,Morning,one,Afternoon,Mumbai,Economy,250.2,1,15720
SpiceJet,Delhi,Early_Morning,one,Morning,Mumbai,Economy,255.0,1,15720
Indigo,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,304.8,1,15720
Air India,Delhi,Evening,one,Night,Mumbai,Economy,1759.8,1,16245
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,265.2,1,16613
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,1020.0,1,16665
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,1600.2,1,16665
Air India,Delhi,Evening,one,Night,Mumbai,Economy,1630.2,1,16455
Air India,Delhi,Evening,one,Night,Mumbai,Economy,1485.0,1,16665
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,345.0,1,17348
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,454.8,1,17348
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,765.0,1,17348
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,825.0,1,17348
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,1069.8,1,17348
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,330.0,1,17400
Vistara,Delhi,Evening,one,Afternoon,Mumbai,Economy,1170.0,1,17505
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,454.8,1,17610
Air India,Delhi,Night,one,Night,Mumbai,Economy,1429.8,1,17295
Vistara,Delhi,Afternoon,one,Evening,Mumbai,Economy,300.0,1,17663
Air India,Delhi,Night,one,Night,Mumbai,Economy,1590.0,1,18030
Vistara,Delhi,Evening,one,Afternoon,Mumbai,Economy,1249.8,1,18398
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,769.8,1,18450
GO FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,535.2,1,18487
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,360.0,1,18923
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,670.2,1,18923
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,730.2,1,18923
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,934.8,1,19238
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,945.0,1,19920
Air India,Delhi,Afternoon,one,Night,Mumbai,Economy,475.2,1,19710
Air India,Delhi,Early_Morning,one,Night,Mumbai,Economy,795.0,1,19710
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,960.0,1,20130
Air India,Delhi,Evening,one,Evening,Mumbai,Economy,1365.0,1,19815
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,360.0,1,21075
GO FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,379.8,1,21111
Air India,Delhi,Morning,one,Evening,Mumbai,Economy,435.0,1,23206
Air India,Delhi,Morning,one,Afternoon,Mumbai,Economy,1804.8,1,24540
Air India,Delhi,Early_Morning,one,Evening,Mumbai,Economy,660.0,1,25800
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,1095.0,1,27270
Air India,Delhi,Morning,one,Evening,Mumbai,Economy,364.8,1,29580
SpiceJet,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,135.0,2,5953
SpiceJet,Delhi,Evening,zero,Night,Mumbai,Economy,139.8,2,5953
Vistara,Delhi,Morning,zero,Morning,Mumbai,Economy,124.8,2,5955
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,130.2,2,5955
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,135.0,2,5955
Vistara,Delhi,Morning,zero,Morning,Mumbai,Economy,139.8,2,5955
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,139.8,2,5955
Vistara,Delhi,Night,zero,Night,Mumbai,Economy,130.2,2,6060
GO FIRST,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,130.2,2,5954
GO FIRST,Delhi,Afternoon,zero,Evening,Mumbai,Economy,135.0,2,5954
GO FIRST,Delhi,Evening,zero,Night,Mumbai,Economy,135.0,2,5954
GO FIRST,Delhi,Night,zero,Night,Mumbai,Economy,135.0,2,5954
GO FIRST,Delhi,Morning,zero,Afternoon,Mumbai,Economy,139.8,2,5954
GO FIRST,Delhi,Evening,zero,Night,Mumbai,Economy,139.8,2,5954
Indigo,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,130.2,2,5955
Indigo,Delhi,Evening,zero,Evening,Mumbai,Economy,130.2,2,5955
Indigo,Delhi,Evening,zero,Night,Mumbai,Economy,130.2,2,5955
Indigo,Delhi,Morning,zero,Afternoon,Mumbai,Economy,135.0,2,5955
Indigo,Delhi,Afternoon,zero,Evening,Mumbai,Economy,135.0,2,5955
Indigo,Delhi,Night,zero,Night,Mumbai,Economy,135.0,2,5955
SpiceJet,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,139.8,2,5955
Indigo,Delhi,Morning,zero,Morning,Mumbai,Economy,139.8,2,5955
Indigo,Delhi,Morning,zero,Morning,Mumbai,Economy,150.0,2,5955
AirAsia,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,130.2,2,5956
Air India,Delhi,Evening,zero,Evening,Mumbai,Economy,120.0,2,5955
Air India,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,124.8,2,5955
Air India,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,130.2,2,5955
Air India,Delhi,Evening,zero,Night,Mumbai,Economy,130.2,2,5955
Air India,Delhi,Evening,zero,Night,Mumbai,Economy,135.0,2,5955
AirAsia,Delhi,Evening,one,Early_Morning,Mumbai,Economy,735.0,2,5949
AirAsia,Delhi,Evening,one,Morning,Mumbai,Economy,979.8,2,5949
GO FIRST,Delhi,Early_Morning,one,Night,Mumbai,Economy,739.8,2,5954
GO FIRST,Delhi,Evening,one,Early_Morning,Mumbai,Economy,739.8,2,5954
Air India,Delhi,Afternoon,one,Evening,Mumbai,Economy,210.0,2,5955
Air India,Delhi,Evening,one,Night,Mumbai,Economy,225.0,2,5955
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,135.0,2,6375
Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Economy,130.2,2,7530
Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Economy,130.2,2,7530
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,139.8,2,7530
AirAsia,Delhi,Evening,one,Early_Morning,Mumbai,Economy,910.2,2,7419
Indigo,Delhi,Morning,zero,Afternoon,Mumbai,Economy,130.2,2,7845
Indigo,Delhi,Early_Morning,one,Evening,Mumbai,Economy,615.0,2,8396
SpiceJet,Delhi,Evening,one,Night,Mumbai,Economy,270.0,2,8869
SpiceJet,Delhi,Evening,one,Morning,Mumbai,Economy,915.0,2,9183
Air India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,435.0,2,9840
Air India,Delhi,Morning,one,Night,Mumbai,Economy,850.2,2,9840
Air India,Delhi,Morning,one,Night,Mumbai,Economy,945.0,2,9840
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,1534.8,2,10566
Air India,Delhi,Afternoon,one,Evening,Mumbai,Economy,379.8,2,10303
Indigo,Delhi,Morning,one,Afternoon,Mumbai,Economy,244.8,2,10523
Air India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,585.0,2,10523
Vistara,Delhi,Night,one,Night,Mumbai,Economy,1585.2,2,11048
Indigo,Delhi,Evening,one,Night,Mumbai,Economy,265.2,2,10838
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,499.8,2,10838
Indigo,Delhi,Night,one,Morning,Mumbai,Economy,625.2,2,10838
Air India,Delhi,Evening,one,Night,Mumbai,Economy,400.2,2,11100
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,480.0,2,11326
Indigo,Delhi,Morning,two_or_more,Evening,Mumbai,Economy,580.2,2,11678
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,745.2,2,12150
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,880.2,2,12150
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,970.2,2,12150
Vistara,Delhi,Morning,one,Morning,Mumbai,Economy,1450.2,2,12150
Indigo,Delhi,Afternoon,one,Evening,Mumbai,Economy,229.8,2,11814
Indigo,Delhi,Morning,one,Evening,Mumbai,Economy,460.2,2,11814
Air India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,604.8,2,11900
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,754.8,2,12308
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,265.2,2,12570
Vistara,Delhi,Morning,one,Morning,Mumbai,Economy,1390.2,2,12570
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,420.0,2,12623
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,495.0,2,12623
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,930.0,2,12623
Air India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,435.0,2,12298
Indigo,Delhi,Night,one,Morning,Mumbai,Economy,610.2,2,12302
Air India,Delhi,Night,one,Night,Mumbai,Economy,1410.0,2,12465
Vistara,Delhi,Afternoon,one,Morning,Mumbai,Economy,1080.0,2,12990
Air India,Delhi,Morning,one,Late_Night,Mumbai,Economy,795.0,2,12675
SpiceJet,Delhi,Afternoon,one,Evening,Mumbai,Economy,1545.0,2,12850
Air India,Delhi,Night,one,Morning,Mumbai,Economy,685.2,2,12990
Air India,Delhi,Morning,one,Night,Mumbai,Economy,690.0,2,12990
Air India,Delhi,Night,one,Afternoon,Mumbai,Economy,970.2,2,12990
Air India,Delhi,Evening,one,Afternoon,Mumbai,Economy,1170.0,2,12990
Air India,Delhi,Morning,one,Morning,Mumbai,Economy,1285.2,2,12990
GO FIRST,Delhi,Early_Morning,one,Night,Mumbai,Economy,855.0,2,13069
GO FIRST,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,465.0,2,13321
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,319.8,2,13673
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,1264.8,2,13830
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,345.0,2,14093
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,730.2,2,14093
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,825.0,2,14093
Air India,Delhi,Evening,one,Morning,Mumbai,Economy,949.8,2,13830
GO FIRST,Delhi,Early_Morning,one,Evening,Mumbai,Economy,705.0,2,14129
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,670.2,2,14513
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,765.0,2,14513
Air India,Delhi,Morning,one,Evening,Mumbai,Economy,340.2,2,14250
GO FIRST,Delhi,Evening,one,Morning,Mumbai,Economy,910.2,2,14409
GO FIRST,Delhi,Evening,one,Night,Mumbai,Economy,285.0,2,14487
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,360.0,2,14933
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,454.8,2,14933
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,475.2,2,15038
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,934.8,2,15353
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,1069.8,2,15353
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,1159.8,2,15353
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,1560.0,2,15353
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,1695.0,2,15353
GO FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,424.8,2,15117
Air India,Delhi,Early_Morning,one,Morning,Mumbai,Economy,1560.0,2,15195
Indigo,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,304.8,2,15232
Air India,Delhi,Evening,one,Night,Mumbai,Economy,375.0,2,15510
Indigo,Delhi,Morning,one,Afternoon,Mumbai,Economy,250.2,2,15720
SpiceJet,Delhi,Early_Morning,one,Morning,Mumbai,Economy,255.0,2,15720
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,619.8,2,15720
Air India,Delhi,Early_Morning,one,Night,Mumbai,Economy,795.0,2,16035
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,544.8,2,16560
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,925.2,2,16560
GO FIRST,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,480.0,2,16823
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,1465.2,2,17348
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,1600.2,2,17348
GO FIRST,Delhi,Afternoon,one,Night,Mumbai,Economy,555.0,2,17136
Air India,Delhi,Night,one,Night,Mumbai,Economy,1429.8,2,18135
Air India,Delhi,Evening,one,Night,Mumbai,Economy,1630.2,2,18135
Vistara,Delhi,Afternoon,one,Evening,Mumbai,Economy,300.0,2,19343
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,1600.2,2,19553
Vistara,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,390.0,2,19815
Air India,Delhi,Morning,one,Afternoon,Mumbai,Economy,289.8,2,20445
Air India,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,1549.8,2,21180
Air India,Delhi,Afternoon,one,Night,Mumbai,Economy,535.2,2,22335
GO FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,450.0,2,23281
GO FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,529.8,2,23281
Vistara,Delhi,Morning,one,Afternoon,Mumbai,Economy,1654.8,2,24488
Air India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,480.0,2,24855
Vistara,Delhi,Afternoon,one,Night,Mumbai,Economy,1705.2,2,25905
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,829.8,2,29160
Air India,Delhi,Morning,one,Evening,Mumbai,Economy,385.2,2,29580
SpiceJet,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,135.0,3,5953
SpiceJet,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,139.8,3,5953
SpiceJet,Delhi,Evening,zero,Night,Mumbai,Economy,139.8,3,5953
Vistara,Delhi,Morning,zero,Morning,Mumbai,Economy,124.8,3,5955
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,135.0,3,5955
Vistara,Delhi,Morning,zero,Morning,Mumbai,Economy,139.8,3,5955
GO FIRST,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,130.2,3,5954
GO FIRST,Delhi,Evening,zero,Night,Mumbai,Economy,135.0,3,5954
GO FIRST,Delhi,Morning,zero,Afternoon,Mumbai,Economy,139.8,3,5954
GO FIRST,Delhi,Evening,zero,Night,Mumbai,Economy,139.8,3,5954
Indigo,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,130.2,3,5955
Indigo,Delhi,Morning,zero,Afternoon,Mumbai,Economy,135.0,3,5955
Indigo,Delhi,Morning,zero,Morning,Mumbai,Economy,139.8,3,5955
Indigo,Delhi,Morning,zero,Morning,Mumbai,Economy,150.0,3,5955
AirAsia,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,130.2,3,5956
Air India,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,124.8,3,5955
Air India,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,130.2,3,5955
Air India,Delhi,Evening,zero,Night,Mumbai,Economy,130.2,3,5955
Air India,Delhi,Evening,zero,Night,Mumbai,Economy,135.0,3,5955
GO FIRST,Delhi,Evening,one,Early_Morning,Mumbai,Economy,739.8,3,5954
GO FIRST,Delhi,Early_Morning,one,Night,Mumbai,Economy,945.0,3,5954
Air India,Delhi,Evening,one,Night,Mumbai,Economy,225.0,3,5955
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,130.2,3,6375
SpiceJet,Delhi,Evening,zero,Night,Mumbai,Economy,130.2,3,6060
SpiceJet,Delhi,Evening,one,Early_Morning,Mumbai,Economy,795.0,3,6270
Vistara,Delhi,Evening,zero,Night,Mumbai,Economy,135.0,3,6690
GO FIRST,Delhi,Afternoon,zero,Evening,Mumbai,Economy,135.0,3,6532
GO FIRST,Delhi,Night,zero,Night,Mumbai,Economy,135.0,3,6532
Vistara,Delhi,Morning,zero,Afternoon,Mumbai,Economy,139.8,3,7005
Air India,Delhi,Evening,zero,Evening,Mumbai,Economy,120.0,3,6795
GO FIRST,Delhi,Afternoon,zero,Evening,Mumbai,Economy,135.0,3,7110
Indigo,Delhi,Early_Morning,one,Evening,Mumbai,Economy,615.0,3,7420
Indigo,Delhi,Morning,one,Afternoon,Mumbai,Economy,300.0,3,7583
Indigo,Delhi,Morning,zero,Afternoon,Mumbai,Economy,130.2,3,7845
Indigo,Delhi,Evening,zero,Night,Mumbai,Economy,130.2,3,8055
Indigo,Delhi,Evening,zero,Evening,Mumbai,Economy,130.2,3,8370
Indigo,Delhi,Afternoon,zero,Evening,Mumbai,Economy,135.0,3,8370
Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Economy,130.2,3,9525
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,1534.8,3,9988
AirAsia,Delhi,Evening,one,Early_Morning,Mumbai,Economy,735.0,3,9840
Air India,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,1474.8,3,9988
Indigo,Delhi,Afternoon,one,Evening,Mumbai,Economy,360.0,3,10523
Vistara,Delhi,Early_Morning,one,Night,Mumbai,Economy,930.0,3,11048
SpiceJet,Delhi,Evening,one,Morning,Mumbai,Economy,915.0,3,10759
Air India,Delhi,Evening,one,Night,Mumbai,Economy,1485.0,3,10785
GO FIRST,Delhi,Early_Morning,one,Night,Mumbai,Economy,855.0,3,10863
Indigo,Delhi,Night,one,Morning,Mumbai,Economy,625.2,3,10943
Vistara,Delhi,Night,one,Afternoon,Mumbai,Economy,1075.2,3,11415
Vistara,Delhi,Evening,one,Afternoon,Mumbai,Economy,1249.8,3,11415
Vistara,Delhi,Night,one,Night,Mumbai,Economy,1585.2,3,11415
Indigo,Delhi,Evening,one,Night,Mumbai,Economy,265.2,3,11326
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,499.8,3,11326
Air India,Delhi,Evening,one,Afternoon,Mumbai,Economy,1249.8,3,11468
Vistara,Delhi,Morning,one,Night,Mumbai,Economy,754.8,3,12098
Vistara,Delhi,Morning,one,Morning,Mumbai,Economy,1450.2,3,12150
SpiceJet,Delhi,Evening,one,Night,Mumbai,Economy,270.0,3,11809
Indigo,Delhi,Afternoon,one,Evening,Mumbai,Economy,229.8,3,11814
Indigo,Delhi,Morning,one,Evening,Mumbai,Economy,460.2,3,11814
Air India,Delhi,Night,one,Afternoon,Mumbai,Economy,990.0,3,11900
Indigo,Delhi,Early_Morning,one,Morning,Mumbai,Economy,289.8,3,11993
SpiceJet,Delhi,Afternoon,one,Evening,Mumbai,Economy,1545.0,3,12010
GO FIRST,Delhi,Morning,two_or_more,Night,Mumbai,Economy,660.0,3,12045
GO FIRST,Delhi,Evening,one,Morning,Mumbai,Economy,910.2,3,12045
Air India,Delhi,Night,one,Morning,Mumbai,Economy,679.8,3,12150
Air India,Delhi,Night,one,Night,Mumbai,Economy,1429.8,3,12150
Air India,Delhi,Early_Morning,one,Morning,Mumbai,Economy,1585.2,3,12150
GO FIRST,Delhi,Evening,one,Night,Mumbai,Economy,285.0,3,12229
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,319.8,3,12623
Air India,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,1489.8,3,12298
Vistara,Delhi,Afternoon,zero,Evening,Mumbai,Economy,130.2,3,12780
Air India,Delhi,Early_Morning,one,Night,Mumbai,Economy,895.2,3,12465
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,1600.2,3,12885
Indigo,Delhi,Evening,one,Night,Mumbai,Economy,319.8,3,12570
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,619.8,3,12570
AirAsia,Delhi,Evening,one,Early_Morning,Mumbai,Economy,910.2,3,12990
Vistara,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,1425.0,3,13410
GO FIRST,Delhi,Morning,one,Afternoon,Mumbai,Economy,304.8,3,13069
GO FIRST,Delhi,Morning,one,Evening,Mumbai,Economy,424.8,3,13069
Air India,Delhi,Morning,one,Afternoon,Mumbai,Economy,1564.8,3,13086
Vistara,Delhi,Morning,one,Morning,Mumbai,Economy,1390.2,3,13515
SpiceJet,Delhi,Early_Morning,one,Morning,Mumbai,Economy,255.0,3,13200
Indigo,Delhi,Afternoon,one,Night,Mumbai,Economy,325.2,3,13279
Air India,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,480.0,3,13515
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,745.2,3,14040
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,1465.2,3,14040
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,1560.0,3,14040
Indigo,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,304.8,3,13767
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,265.2,3,14565
Vistara,Delhi,Evening,one,Morning,Mumbai,Economy,945.0,3,14565
Vistara,Delhi,Evening,one,Night,Mumbai,Economy,1600.2,3,14565
